movieCd,movieNm,showTm,prdtYear,openDt,typeNm,nations,genres,directors,actors,companys,audits,w1,w2,w3,w4,tot
20171801,극장판 암살교실 : 365일의 시간,92,2017,20170323,장편,일본,애니메이션,키시 세이지,후쿠야마 쥰|스기타 토모카즈,(주)박수엔터테인먼트,12세이상관람가,20027,26083,27758,28236,28364
20151230,원라인,131,2016,20170329,장편,한국,범죄,양경모,임시완|진구|박병은,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,351725,426026,433118,434338,435142
20167364,미스 슬로운,132,2016,20170329,장편,프랑스|미국,스릴러|드라마,존 매든,제시카 차스테인,(주)메인타이틀픽쳐스,15세이상관람가,28451,38306,44123,46615,48051
20164926,분노,141,2016,20170330,장편,일본,스릴러,이상일,와타나베 켄|모리야마 미라이|마츠야마 켄이치|아야노 고|히로세 스즈|미야자키 아오이|츠마부키 사토시,메가박스중앙(주)플러스엠,청소년관람불가,14034,20857,25955,27436,29426
20167901,어느날,113,2017,20170405,장편,한국,멜로/로맨스,이윤기,김남길|천우희,오퍼스픽쳐스(유)|CGV아트하우스,15세이상관람가,198408,229413,233838,234645,234829
20171381,라이프,103,2017,20170405,장편,미국,스릴러|SF,다니엘 에스피노사,제이크 질렌할|레베카 퍼거슨|라이언 레이놀즈,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,387291,451098,459261,459880,459984
20151227,아빠는 딸,114,2016,20170412,장편,한국,코미디,김형협,윤제문|정소민,메가박스중앙(주)플러스엠,12세이상관람가,357625,589470,643875,646097,647305
20167542,분노의 질주: 더 익스트림,136,2017,20170412,장편,캐나다|미국|일본|프랑스,스릴러|액션|범죄,F. 게리 그레이,빈 디젤|드웨인 존슨|제이슨 스타뎀|샤를리즈 테론,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,1794978,2798060,3424763,3624850,3659516
20173690,흑집사 북 오브 더 아틀란틱,100,2017,20170413,장편,일본,액션|애니메이션|판타지|드라마,아베 노리유키,오노 다이스케|사카모토 마야,(주)박수엔터테인먼트,15세이상관람가,17894,27208,33167,36013,38321
20170741,지니어스,103,2016,20170413,장편,미국|영국,드라마,마이클 그랜다지,콜린 퍼스|주드 로|니콜 키드먼,(주)라이크 콘텐츠,12세이상관람가,19924,24351,26044,26647,27224
