movieCd,movieNm,openDt,nations,directors,actors,companys,audits,w1,w2,w3,w4,tot,hCnt,애니메이션,멜로/로맨스,액션,가족,뮤지컬,범죄,미스터리,전쟁,다큐멘터리,어드벤처,공연,코미디,드라마,서부극(웨스턴),스릴러,판타지,SF,공포(호러),사극
20168401,카페 소사이어티,20160914,2,87589,377724,2,3,74511,103378,117014,121653,126708,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20168885,브리짓 존스의 베이비,20160928,2,820995,219761,3,3,463038,692909,781019,811419,820995,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20168891,설리: 허드슨강의 기적,20160928,2,174719,636914,3,2,418062,580281,616113,622757,627424,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20164501,미스 페레그린과 이상한 아이들의 집,20160928,2,1086112,510743,3,2,1253955,2184784,2544470,2686518,2718158,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
20153443,아수라,20160928,3,1434382,1700857,3,4,2218912,2543479,2587398,2591519,2594695,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20160143,피터와 드래곤,20160928,2,38078,22345,1,1,69358,90058,101247,107331,109137,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20168361,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,20160928,1,64858,25800,2,1,42047,55207,61621,66282,69918,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20164094,립반윙클의 신부,20160928,1,25657,8442,1,3,13498,17681,18548,19050,19413,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20169764,백설공주 : 사라진 아빠를 찾아서,20160929,1,55425,14713,1,1,43293,51890,53337,54383,55425,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20167481,맨 인 더 다크,20161005,2,517912,410755,3,4,708515,933246,997082,1002844,1003406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20168822,디시에르토,20161005,1,13812,280032,1,3,13227,13634,13648,13673,13812,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
20161589,죽여주는 여자,20161006,3,391652,669859,2,4,71232,95019,107792,114228,121452,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20153444,럭키,20161013,3,2784974,875244,2,3,2879406,4925286,5933079,6559277,6975631,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20163041,자백,20161013,3,2181,69380,1,3,75292,100800,115269,123962,144372,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20169028,토마스와 친구들: 용감한 기관차와 괴물소동,20161013,1,21277,13580,2,1,18345,23807,25870,26325,27352,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20156007,인페르노,20161019,2,489080,279813,3,3,557906,651924,682444,688145,689071,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20151022,걷기왕,20161020,3,25304,641815,2,2,75646,87191,90239,92626,95542,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20163181,닥터 스트레인지,20161026,2,1460379,697297,1,2,2842766,4208813,4956764,5259664,5447269,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
