,date,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
91,20120110,2,2,0,OLD,20113671,원더풀 라디오,2012-01-05,345973000,19.5,16222000,4.9,3683291000,48327,2330,5.1,497595,425,2047
92,20120110,3,3,0,OLD,20112621,셜록홈즈 : 그림자 게임,2011-12-21,209411000,11.8,-5605500,-2.6,14560678000,28879,-572,-1.9,1960917,304,1470
93,20120110,4,4,0,OLD,20113260,퍼펙트 게임,2011-12-21,170777500,9.6,7813500,4.8,9071604500,23927,1333,5.9,1222823,305,1075
94,20120110,5,5,0,OLD,20110295,마이 웨이,2011-12-21,112640500,6.4,-787500,-0.7,15358718000,15622,-58,-0.4,2058095,380,1369
95,20120110,6,6,0,OLD,20113271,프렌즈: 몬스터섬의비밀 ,2011-12-29,88102500,5.0,10037500,12.9,3317807500,12747,1618,14.5,449012,251,671
96,20120110,7,7,0,OLD,20113652,다크아워,2012-01-05,82422000,4.7,865500,1.1,1127799000,10438,140,1.4,137391,302,1205
97,20120110,8,8,0,OLD,20113381,오싹한 연애,2011-12-01,59459000,3.4,2408500,4.2,21708080500,8178,350,4.5,2968864,139,441
98,20120110,9,9,0,OLD,19940256,라이온 킹,1994-07-02,59528000,3.4,6621000,12.5,3095237500,5774,726,14.4,289747,191,451
99,20120110,10,10,11,OLD,20113643,파파,2012-02-01,27600000,1.6,26160000,1816.7,34440000,5520,5232,1816.7,6888,25,25
100,20120111,1,1,0,OLD,20112207,미션임파서블:고스트프로토콜,2011-12-15,409886000,22.5,-57982500,-12.4,49066792000,56211,-6594,-10.5,6444537,492,2078
101,20120111,2,2,0,OLD,20113671,원더풀 라디오,2012-01-05,309622500,17.0,-36350500,-10.5,3992913500,43719,-4608,-9.5,541314,373,1803
102,20120111,3,3,36,OLD,20113862,장화신은 고양이,2012-01-12,321791500,17.6,321401500,82410.6,322181500,36254,36224,120746.7,36284,432,2208
103,20120111,4,4,-1,OLD,20112621,셜록홈즈 : 그림자 게임,2011-12-21,189037500,10.4,-20373500,-9.7,14749715500,26169,-2710,-9.4,1987086,288,1284
104,20120111,5,5,-1,OLD,20113260,퍼펙트 게임,2011-12-21,153468500,8.4,-17309000,-10.1,9225073000,21233,-2694,-11.3,1244056,274,988
105,20120111,6,6,-1,OLD,20110295,마이 웨이,2011-12-21,80393500,4.4,-32247000,-28.6,15439111500,11222,-4400,-28.2,2069317,285,910
106,20120111,7,7,0,NEW,20110882,밀레니엄 : 여자를 증오한 남자들,2012-01-11,85037500,4.7,85037500,100,88905500,11033,11033,100,11579,195,411
107,20120111,8,8,-2,OLD,20113271,프렌즈: 몬스터섬의비밀 ,2011-12-29,49056000,2.7,-39046500,-44.3,3366863500,7472,-5275,-41.4,456484,214,513
108,20120111,9,9,-1,OLD,20113381,오싹한 연애,2011-12-01,44579000,2.4,-14880000,-25,21752659500,6145,-2033,-24.9,2975009,104,330
109,20120111,10,10,-3,OLD,20113652,다크아워,2012-01-05,37259500,2.0,-45162500,-54.8,1165058500,4931,-5507,-52.8,142322,215,650
110,20120112,1,1,2,OLD,20113862,장화신은 고양이,2012-01-12,688623000,30.8,366831500,114,1010804500,79382,43128,119,115666,506,2640
111,20120112,2,2,-1,OLD,20112207,미션임파서블:고스트프로토콜,2011-12-15,369494000,16.5,-40392000,-9.9,49436286000,50358,-5853,-10.4,6494895,418,1826
112,20120112,3,3,-1,OLD,20113671,원더풀 라디오,2012-01-05,271439000,12.1,-38183500,-12.3,4264352500,38190,-5529,-12.6,579504,319,1590
113,20120112,4,4,3,OLD,20110882,밀레니엄 : 여자를 증오한 남자들,2012-01-11,232612000,10.4,147574500,173.5,321517500,31406,20373,184.7,42985,296,1164
114,20120112,5,5,-1,OLD,20112621,셜록홈즈 : 그림자 게임,2011-12-21,161659000,7.2,-27378500,-14.5,14911374500,22236,-3933,-15,2009322,259,1091
115,20120112,6,6,-1,OLD,20113260,퍼펙트 게임,2011-12-21,151148000,6.8,-2320500,-1.5,9376221000,20787,-446,-2.1,1264843,248,899
116,20120112,7,7,-1,OLD,20110295,마이 웨이,2011-12-21,64706500,2.9,-15687000,-19.5,15503818000,9034,-2188,-19.5,2078351,217,645
117,20120112,8,8,3,OLD,20113883,초한지 - 천하대전,2012-01-11,64329500,2.9,44427000,223.2,111521000,8873,6237,236.6,14970,157,546
118,20120112,9,9,14,OLD,20113811,코알라 키드 : 영웅의 탄생,2012-01-12,55618500,2.5,51907000,1398.5,118637500,8326,7862,1694.4,17229,214,531
119,20120112,10,10,-2,OLD,20113271,프렌즈: 몬스터섬의비밀 ,2011-12-29,30886500,1.4,-18169500,-37,3397750000,4733,-2739,-36.7,461217,169,321
120,20120113,1,1,0,OLD,20113862,장화신은 고양이,2012-01-12,795536000,29.5,106913000,15.5,1806340500,90441,11059,13.9,206107,521,2748
121,20120113,2,2,0,OLD,20112207,미션임파서블:고스트프로토콜,2011-12-15,482216000,17.9,112722000,30.5,49918502000,61985,11627,23.1,6556880,426,1885
122,20120113,3,3,0,OLD,20113671,원더풀 라디오,2012-01-05,327787000,12.2,56348000,20.8,4592139500,43776,5586,14.6,623280,326,1623
123,20120113,4,4,0,OLD,20110882,밀레니엄 : 여자를 증오한 남자들,2012-01-11,313606000,11.6,80994000,34.8,635123500,39290,7884,25.1,82275,297,1213
124,20120113,5,5,0,OLD,20112621,셜록홈즈 : 그림자 게임,2011-12-21,221341500,8.2,59682500,36.9,15132716000,28697,6461,29.1,2038019,267,1146
125,20120113,6,6,0,OLD,20113260,퍼펙트 게임,2011-12-21,194709500,7.2,43561500,28.8,9570930500,25467,4680,22.5,1290310,249,914
126,20120113,7,7,1,OLD,20113883,초한지 - 천하대전,2012-01-11,84967500,3.2,20638000,32.1,196488500,11205,2332,26.3,26175,162,574
127,20120113,8,8,-1,OLD,20110295,마이 웨이,2011-12-21,66644000,2.5,1937500,3,15570462000,8699,-335,-3.7,2087050,217,667
128,20120113,9,9,0,OLD,20113811,코알라 키드 : 영웅의 탄생,2012-01-12,56383500,2.1,765000,1.4,175021000,8552,226,2.7,25781,213,543
129,20120113,10,10,0,OLD,20113271,프렌즈: 몬스터섬의비밀 ,2011-12-29,33336000,1.2,2449500,7.9,3431086000,5154,421,8.9,466371,168,329
130,20120114,1,1,0,OLD,20113862,장화신은 고양이,2012-01-12,2359821500,34.2,1564285500,196.6,4166162000,266248,175807,194.4,472355,593,3064
131,20120114,2,2,0,OLD,20112207,미션임파서블:고스트프로토콜,2011-12-15,1268647500,18.4,786431500,163.1,51187149500,163766,101781,164.2,6720646,461,2037
132,20120114,3,3,0,OLD,20113671,원더풀 라디오,2012-01-05,727175000,10.6,399388000,121.8,5319314500,97590,53814,122.9,720870,355,1703
133,20120114,4,4,0,OLD,20110882,밀레니엄 : 여자를 증오한 남자들,2012-01-11,632367000,9.2,318761000,101.6,1267490500,79403,40113,102.1,161678,316,1216
134,20120114,5,5,0,OLD,20112621,셜록홈즈 : 그림자 게임,2011-12-21,534422500,7.8,313081000,141.4,15667138500,69255,40558,141.3,2107274,265,1178
135,20120114,6,6,0,OLD,20113260,퍼펙트 게임,2011-12-21,425254000,6.2,230544500,118.4,9996184500,55408,29941,117.6,1345718,267,921
