,movieCd,movieNm,point,viewer
5640,20136962,레드: 더 레전드,8.00,"3,004,649 명"
5649,20134068,까밀 리와인드,8.44,"22,210 명"
5687,20126674,설국열차,7.98,"9,352,605 명"
5698,20136052,더 테러 라이브,8.28,"5,584,295 명"
5699,20137121,더 울버린,6.11,"1,075,333 명"
5708,20138202,에픽 : 숲속의 전설 ,8.77,"978,785 명"
5718,20139826,마지막 4중주,8.19,"109,009 명"
5774,20136761,개구쟁이 스머프 2,7.83,"921,788 명"
5789,20139821,슈퍼히어로,스웨덴,"11,516 명"
5838,20136049,숨바꼭질,한국,0
5846,20058720,명탐정 코난 : 수평선상의 음모,8.69,"389,873 명"
5873,20124937,감기,한국,"3,117,859 명"
5918,20130569,슈퍼윙스 3D,8.34,"46,124 명"
5919,20139083,언어의 정원,8.18,"70,497 명"
5991,20138881,나우 유 씨 미 : 마술사기단,8.04,"2,718,237 명"
5995,20138421,R.I.P.D. : 알.아이.피.디.,7.64,"101,460 명"
5996,20130821,투 마더스,7.02,20 명
5998,20139072,일대종사,8.01,"101,642 명"
6039,20131203,킬링시즌,6.78,"9,240 명"
6059,20139265,잡스,7.28,"68,811 명"
6060,20137811,엘리시움,7.24,"1,207,732 명"
6067,20131681,드래곤볼Z : 신들의 전쟁,8.07,"44,231 명"
6077,20124086,스파이,8.80,0
6086,20122089,슈퍼배드 2,8.81,"963,763 명"
6108,20131381,컨저링,영국,1 명
6109,20126091,관상,8.00,"9,135,806 명"
6118,20135001,몬스터 대학교,8.76,"870,759 명"
6134,20132082,바람이 분다,한국,"106,546 명"
6137,20139461,뫼비우스,"캐나다, 미국","35,348 명"
6197,20137562,퍼시 잭슨과 괴물의 바다,7.79,"519,584 명"
6202,20129588,섀도우 헌터스: 뼈의 도시,7.32,"571,074 명"
6209,20137041,우리 선희,7.58,"69,122 명"
6268,20131001,프리버즈: 밍쿠와 찌아의 도시 대탈출,3.56,"44,650 명"
6316,20134582,소원,한국,"2,711,094 명"
6334,20131541,블루 재스민,8.50,"144,664 명"
6339,20131241,퍼펙트,0,"18,179 명"
6343,20131630,히든 카드,6.06,"151,476 명"
6348,20122466,짓,5.27,807 명
6388,20123381,깡철이,6.96,"1,209,363 명"
6404,20130783,프리즈너스,8.10,"189,025 명"
6406,20132262,적인걸2 : 신도해왕의 비밀,7.92,"47,179 명"
6407,20132261,로덴시아: 마법왕국의 전설,7.42,"98,798 명"
6409,20123383,화이: 괴물을 삼킨 아이,7.83,"2,394,487 명"
6419,20128079,정글번치 : 빙산으로의 귀환,8.35,"66,219 명"
6457,20139221,그래비티,8.28,"3,280,151 명"
6459,20132120,러시 : 더 라이벌,9.06,"127,037 명"
6479,20132601,에코 플래닛 3D : 지구 구출 특급 대작전,9.41,"37,027 명"
6487,20123384,밤의 여왕,6.88,"252,475 명"
6488,20132382,페이머스 파이브 : 키린섬의 비밀,8.62,"7,638 명"
6527,20122785,롤러코스터,6.40,"270,156 명"
6536,20132821,캡틴 필립스,9.03,"242,268 명"
6537,20129606,공범,대만,"1,766,285 명"
6548,20125527,코알라,이탈리아,"6,432 명"
6549,20136059,히어로,8.23,"1,738 명"
6557,20058701,러브레이스,7.51,"19,933 명"
6559,20137722,킥 애스 2 : 겁없는 녀석들,8.16,"12,827 명"
6597,20120428,톱스타,7.38,"175,153 명"
6624,20134124,배우는 배우다,6.74,"112,029 명"
6629,20122786,응징자,6.11,"192,347 명"
6639,20138223,노브레싱,7.58,"451,669 명"
6677,20127595,동창생,7.30,"1,048,280 명"
6680,20138355,토르: 다크 월드,8.36,"3,040,115 명"
6689,20136061,결혼전야,한국,"1,214,839 명"
6699,20134374,원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR,7.67,"8,083 명"
6709,20139402,연애의 기술,2.55,"8,923 명"
6717,20134144,화이트 고릴라,8.07,"71,796 명"
6729,20132807,어떤 시선,8.43,"31,483 명"
6738,20137044,친구 2,6.22,"2,971,475 명"
6739,20138222,완전 소중한 사랑,8.43,"20,303 명"
6755,20139601,더 퍼지,미국,"59,881 명"
6759,20133760,세이프 헤이븐,8.54,"40,815 명"
6769,20134413,소녀,일본,"20,599 명"
6778,20134073,디스커넥트,8.53,0
6819,20135428,어바웃 타임,9.17,"3,431,882 명"
6827,20135343,투건스,7.16,"7,806 명"
6831,20134801,더 파이브,6.19,"731,212 명"
6835,20133152,카운슬러,7.19,"133,272 명"
6837,20131245,블랙 가스펠,9.08,"1,353 명"
6849,20134705,맛있는 사랑공식-섹스,3.50,"5,460 명"
6859,19918269,터미네이터 2 : 심판의 날 감독판,9.43,"14,391 명"
6898,20124402,열한시,6.45,"870,785 명"
6899,20138544,헝거게임: 캣칭 파이어,8.32,"1,127,373 명"
6905,20133701,하늘에서 음식이 내린다면 2,8.09,"800,062 명"
6908,20110881,창수,7.12,"429,141 명"
6929,20131263,사이비,8.78,"22,526 명"
6948,20132824,리딕,7.35,"132,059 명"
6949,20135367,오싱,7.89,"74,108 명"
6976,20134268,버틀러: 대통령의 집사,8.59,"126,870 명"
7009,20135443,산타의 매직 크리스탈,7.33,"60,747 명"
7041,20135657,인시디어스: 두번째 집,7.24,"577,758 명"
7044,20135370,이스케이프 플랜,미국,"1,276 명"
7100,20134123,집으로 가는 길,"싱가포르, 일본","1,854,711 명"
7109,20134803,변호인,8.99,"11,375,123 명"
7110,20134267,호빗: 스마우그의 폐허,8.48,"2,282,744 명"
7149,20135365,코비: 블루 엘리펀트의 전설,8.54,0
7158,20139981,캐치미,한국,"494,126 명"
7168,20124938,용의자,8.37,25 명
7185,20134984,다이노소어 어드벤처 3D,8.99,"599,963 명"
7186,20136308,비행기,스페인,"233,557 명"
7187,20135427,세이빙 산타,7.82,"235,684 명"
7189,20133704,그렇게 아버지가 된다,8.87,"127,081 명"
7228,20131246,엔더스 게임,7.17,"654,212 명"
7229,20134046,월터의 상상은 현실이 된다,8.72,"957,127 명"
7236,20134206,썬더와 마법저택,8.78,"904,143 명"
7306,20135369,저스틴,7.86,"266,475 명"
7339,20138224,플랜맨,8.17,"635,740 명"
7393,20134592,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",8.94,"321,602 명"
7394,20134533,타잔 3D,7.58,"598,204 명"
7395,20136812,더 울프 오브 월스트리트,8.07,"586,587 명"
7439,20136575,배틀 오브 비보이,7.60,"34,261 명"
7457,20136894,살인자,5.85,"88,199 명"
7460,20136803,겨울왕국,9.12,"13,747,615 명"
7462,20136337,잭 라이언 : 코드네임 쉐도우,7.39,"327,591 명"
7521,20139881,피끓는 청춘,7.62,"1,676,040 명"
7522,20131102,수상한 그녀,9.00,"8,660,623 명"
7523,20137043,남자가 사랑할 때,한국,"1,980,120 명"
7536,20136860,극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,7.55,"59,611 명"
7539,20126090,조선미녀삼총사,4.03,"480,361 명"
7575,20122787,또 하나의 약속,9.27,"497,994 명"
7585,20130561,관능의 법칙,7.64,"781,516 명"
7596,20136800,넛잡: 땅콩 도둑들,6.71,0
7597,20147250,폴리스 스토리 2014,8.01,"153,591 명"
7598,20133585,인사이드 르윈 ,8.15,"106,729 명"
7609,20147161,디노타샤: 공룡대탐험,6.66,"23,530 명"
7649,20147301,굿모닝 맨하탄,8.89,"31,655 명"
7659,20136292,"가장 따뜻한 색, 블루",8.78,"53,339 명"
7669,20136043,신이 보낸 사람,8.07,"424,849 명"
